2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,0,0,0,1,15,3,7,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,2,2,1,0,0,0,1,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,2,3,4,1,0,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,0,2,0,1,1,0,1,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,2,3,4,1,0,0,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,1,0,1,4,1,3,0,0,1,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,4,2,0,1,1,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
8,9,4,6,10,5,2,0,1,4,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,3,1,5,1,0,3,1,0,2,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
1,2,0,0,2,1,0,1,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,3,0,0,1,0,1,1,0,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,1,0,1,1,0,0,0,1,1,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,1,2,1,2,1,1,1,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,1,0,1,1,3,1,2,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,2,0,2,1,1,1,0,2,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,1,0,1,0,0,0,2,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,1,3,8,4,1,3,0,1,3,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,4,1,0,1,1,5,3,6,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
2,1,1,0,0,3,1,0,0,1,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,0,1,0,1,0,0,1,1,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
6,1,4,5,5,8,2,7,3,6,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,0,0,1,1,1,1,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,0,0,3,1,3,1,0,2,4,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
2,1,0,1,1,1,0,1,0,1,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,1,1,2,1,0,3,3,2,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,2,2,0,1,3,3,1,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,3,1,0,0,2,4,3,4,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,2,0,3,1,1,1,0,0,1,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,1,2,1,5,1,2,0,1,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,8,5,1,3,2,1,2,4,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,5,1,0,0,0,1,0,1,3,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,0,1,0,2,3,0,2,1,1,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,2,4,5,2,3,1,7,3,5,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,1,0,0,3,2,2,6,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,1,1,0,1,1,5,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,0,2,1,0,1,0,0,1,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,6,6,5,2,2,0,1,0,1,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,1,2,0,1,0,2,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,0,1,0,0,1,1,2,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
1,1,1,0,1,0,0,0,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,1,1,0,0,1,3,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
