1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,3,4,1,3,3,1,1,0,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,4,1,0,1,0,0,0,1,1,3,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,3,4,0,1,0,2,1,5,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,0,2,2,2,1,0,1,2,4,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,2,4,3,3,2,0,1,2,2,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
1,1,0,0,0,2,0,3,1,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,4,3,0,5,0,3,1,5,0,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,1,0,0,1,1,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,1,0,1,0,2,1,1,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,3,0,0,2,3,0,1,2,5,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,1,3,0,0,5,1,2,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,2,2,1,4,1,1,7,3,5,6,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,0,0,0,2,1,1,1,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,1,3,2,0,0,0,0,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,2,2,0,1,0,1,0,2,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
8,8,5,5,9,2,3,1,1,3,3,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,1,1,2,1,0,2,0,0,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,3,0,1,1,0,0,0,0,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,1,4,3,1,1,0,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,1,2,3,4,1,0,1,2,2,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,3,2,0,3,0,0,0,0,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,2,4,0,1,2,0,1,1,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,2,4,5,1,1,0,2,3,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,0,8,7,6,5,2,4,4,3,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
6,2,15,9,5,2,4,8,1,9,4,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,0,1,0,0,2,5,4,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,5,0,1,1,0,0,0,1,4,
