1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,0,7,12,10,11,5,3,10,3,1,2,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,1,3,6,1,3,1,0,1,1,1,3,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,1,0,0,3,4,3,1,0,1,2,5,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,0,1,0,2,1,2,0,1,2,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,4,0,0,5,1,0,0,1,4,4,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,5,2,1,0,2,1,0,0,1,2,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,6,3,3,3,10,0,6,1,4,1,4,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,1,1,0,0,0,1,0,1,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,0,5,0,4,1,0,1,1,1,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,2,0,0,1,2,0,2,1,1,2,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,5,3,3,7,5,3,1,2,6,3,3,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,3,1,1,0,0,0,0,1,1,3,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,4,1,1,1,0,0,2,0,0,2,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,1,2,0,1,1,1,1,0,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,1,2,2,3,1,1,0,2,0,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,0,6,0,1,0,5,1,1,1,3,3,6,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,1,1,3,0,0,4,0,2,2,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,4,3,4,3,3,3,2,0,0,1,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,10,12,19,17,33,14,19,16,30,13,15,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,4,2,1,0,0,0,1,0,1,2,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,7,0,11,4,2,2,0,3,0,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,2,1,1,1,0,0,0,1,2,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,0,2,2,1,1,0,1,0,2,1,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,4,5,9,1,1,2,3,1,1,0,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,4,4,2,4,0,9,5,4,1,1,1,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,2,0,1,1,0,1,2,3,2,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,2,0,6,2,6,3,6,4,3,9,8,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,1,2,2,5,6,2,3,0,2,5,8,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,3,4,0,3,2,4,0,0,4,2,4,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,2,0,1,1,1,2,1,0,0,2,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,3,1,3,3,8,4,1,2,1,0,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,2,0,0,2,1,1,2,1,4,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,0,2,1,2,0,2,0,2,2,1,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,4,10,3,9,2,1,0,2,1,4,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,9,8,8,11,16,1,3,6,2,2,4,1,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,2,2,3,0,3,1,3,0,0,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,3,2,1,5,1,0,0,5,4,0,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,2,1,3,0,0,1,1,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,3,6,2,7,5,2,1,1,3,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,2,3,0,4,1,1,1,0,3,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,0,1,1,1,0,0,1,0,1,0,3,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,3,2,4,0,0,1,1,0,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,4,9,6,7,6,14,6,5,4,5,10,6,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,4,6,5,1,2,4,5,0,1,5,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,3,1,1,5,3,0,3,1,2,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,3,5,1,2,0,0,0,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,5,3,6,11,3,6,3,4,2,3,3,5,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,5,1,4,7,2,2,1,7,1,8,8,4,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,3,3,1,2,1,1,1,2,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,5,1,9,2,5,2,2,2,1,1,1,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,2,1,0,3,0,1,0,1,2,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,1,1,2,1,0,3,1,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,1,2,1,0,1,1,0,0,0,0,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,3,0,0,1,1,0,0,1,1,0,0,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,1,1,0,3,3,0,1,0,1,2,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,2,0,1,0,1,1,0,2,5,3,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,0,3,0,3,0,2,0,1,0,1,0,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,2,2,3,1,2,3,0,5,2,7,4,4,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,4,2,4,5,1,0,0,0,0,0,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,3,1,5,2,0,0,0,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,0,2,2,2,2,0,0,0,1,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,4,2,7,8,7,5,0,2,1,2,2,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,9,10,14,16,15,8,8,11,7,6,8,9,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,1,3,3,8,2,1,1,2,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
1,4,4,0,3,3,0,0,0,1,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,3,1,1,2,1,5,1,2,1,8,4,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
