1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,4,3,10,8,16,5,22,9,7,4,6,13,7,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,3,2,1,4,0,2,2,2,0,0,0,1,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
2,7,3,4,5,1,0,0,1,0,2,0,0,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,0,1,3,0,1,1,1,2,3,2,3,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,0,1,1,0,0,2,2,0,1,0,2,2,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,1,1,1,1,3,0,0,0,1,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,1,1,4,3,3,1,0,0,1,0,0,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,1,1,0,0,1,0,1,1,1,2,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
1,4,1,2,1,1,1,1,0,0,0,0,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
3,4,5,5,8,8,15,5,4,1,0,2,2,3,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,6,8,9,10,19,22,21,8,10,10,12,21,25,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,1,7,6,12,8,9,2,0,3,4,5,3,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
2,0,1,1,0,3,1,2,0,0,0,0,1,2,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,6,1,5,2,10,4,5,2,2,2,2,5,3,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,1,0,0,1,2,0,4,0,1,2,0,0,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
3,2,1,1,0,2,1,0,0,1,0,1,1,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
3,5,3,1,0,1,1,0,0,0,0,1,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
2,0,3,0,0,1,3,2,0,1,0,0,1,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,2,0,2,1,1,1,0,2,2,1,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
1,2,1,5,2,3,2,0,0,2,0,0,0,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
3,0,2,0,2,1,3,3,2,1,0,0,0,2,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
1,0,0,1,1,5,2,1,1,0,1,0,0,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
5,4,1,1,6,1,1,0,3,0,0,2,1,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
3,0,1,0,1,1,1,0,1,1,0,0,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
1,2,1,5,4,4,7,0,1,6,7,21,9,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,0,0,0,1,1,2,1,1,2,0,1,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
1,0,1,0,0,0,4,4,1,1,1,0,0,2,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
6,1,4,1,1,4,1,1,1,2,1,1,2,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
2,1,2,0,1,1,1,0,1,0,0,2,0,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
1,2,3,2,1,1,3,2,1,0,1,0,1,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
1,0,1,1,3,3,2,1,0,0,0,1,0,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
3,2,4,3,3,0,3,0,4,2,3,2,1,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
6,2,1,2,1,2,1,2,1,0,0,0,0,1,
1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,
5,3,0,4,2,3,1,2,1,0,0,1,1,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
2,1,1,1,2,1,1,1,0,1,0,0,0,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
1,1,3,1,3,0,1,0,1,1,0,0,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
3,2,0,2,2,2,0,2,1,1,0,1,0,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
3,1,3,1,3,1,1,0,0,0,0,0,0,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
2,5,6,5,6,1,1,2,0,0,0,1,1,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
5,3,6,4,12,8,5,1,9,3,2,5,1,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
1,7,7,5,3,3,5,1,1,0,1,0,0,1,
