1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,1,1,0,1,1,0,0,2,1,0,1,0,1,1,1,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,2,1,2,5,3,2,5,1,0,0,2,0,0,2,1,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,3,1,2,4,1,1,0,4,1,0,0,0,0,1,3,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,2,1,1,2,0,4,2,2,2,0,0,0,2,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
5,3,4,2,2,0,2,0,2,0,0,1,0,0,0,0,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,0,1,0,0,0,0,2,4,1,1,2,6,10,4,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
1,1,2,3,2,1,0,1,0,0,1,0,0,0,0,0,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,1,2,8,7,3,1,0,0,1,0,0,0,0,0,0,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
2,1,1,0,3,8,2,5,1,3,1,4,0,4,1,2,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,2,1,5,2,2,1,0,0,0,0,0,1,0,1,0,2,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
2,3,1,1,1,0,2,1,0,0,0,0,0,0,1,0,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,0,0,0,0,3,21,4,2,9,5,12,14,16,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
9,4,6,6,2,5,1,2,1,0,0,0,1,1,1,0,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
5,0,4,4,2,2,2,0,1,0,2,0,1,0,0,1,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
6,0,1,1,2,2,0,1,1,0,0,0,1,0,0,0,2,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
2,1,0,5,0,4,3,1,1,0,3,0,1,1,1,0,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,0,0,1,2,1,1,1,1,1,1,4,0,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,0,0,1,1,1,1,0,0,1,0,0,3,3,2,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,3,1,1,0,1,1,1,2,0,0,2,1,0,0,0,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
1,1,0,1,1,2,2,2,0,0,1,0,0,3,0,0,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
2,3,8,1,4,4,5,1,4,1,3,0,1,0,0,1,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,0,2,0,0,0,1,1,1,2,0,0,2,1,1,0,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,3,3,6,2,5,1,2,0,1,0,0,0,0,1,0,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
2,3,5,6,3,2,3,1,4,1,6,2,4,2,4,3,2,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,0,0,0,3,2,1,1,1,1,3,0,1,0,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
2,1,0,1,0,0,2,0,1,2,1,0,2,2,0,1,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,3,1,3,1,5,1,1,1,0,1,0,5,1,1,0,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,0,1,0,0,1,2,1,0,1,2,1,2,2,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,0,0,2,2,1,2,0,0,1,0,1,2,1,0,3,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,7,3,7,1,5,1,4,1,1,0,3,0,1,0,3,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
4,3,4,3,2,2,2,0,2,1,0,0,0,1,0,0,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
2,1,4,4,4,3,2,0,1,0,4,0,0,0,0,0,1,
