1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
1,4,9,6,2,2,2,3,0,3,0,0,0,1,1,0,1,0,0,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,3,3,1,2,2,1,2,1,5,2,6,6,0,5,5,4,4,5,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,3,3,6,2,1,0,3,0,0,2,0,2,2,0,0,0,0,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,3,1,1,0,1,1,2,1,0,0,1,0,0,0,0,1,1,0,4,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
4,1,7,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,2,1,7,2,1,0,4,0,1,5,0,0,0,7,0,1,0,0,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,3,7,7,7,14,3,6,2,3,5,6,3,5,1,1,2,1,2,7,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
4,10,10,11,4,3,8,5,2,2,3,0,1,1,2,0,1,1,0,2,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,2,1,1,0,1,0,0,0,1,0,1,0,3,0,1,1,0,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
3,2,3,4,2,2,1,2,0,0,2,0,0,2,1,0,0,0,0,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,3,1,2,2,2,0,0,2,0,0,2,0,3,0,0,0,1,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,6,2,5,6,1,1,1,1,2,1,0,3,1,0,1,1,0,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
1,0,2,2,0,0,1,0,0,1,0,2,0,2,0,4,3,5,15,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,0,1,1,2,0,3,0,1,1,0,0,2,0,0,1,0,0,1,
