1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,10,18,19,23,20,3,11,10,8,11,10,14,13,18,18,2,9,4,11,10,15,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,1,1,0,0,0,1,1,0,2,1,0,0,2,0,3,4,2,0,0,1,2,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,0,0,0,0,0,0,1,1,1,3,2,0,1,0,0,1,1,1,2,2,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,2,2,0,1,2,1,0,0,0,3,1,4,3,4,0,1,2,0,1,0,2,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,0,0,6,2,3,1,4,0,1,2,2,2,2,0,0,1,3,0,3,2,2,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,1,2,2,6,7,1,2,0,0,0,1,1,2,5,3,0,1,1,0,0,2,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,1,2,4,2,0,4,0,2,0,1,1,4,3,0,1,0,2,1,7,5,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,1,0,4,3,4,3,0,1,0,1,0,4,0,2,1,1,1,0,4,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,0,1,3,1,0,2,1,0,0,0,2,0,1,0,1,1,1,0,1,1,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,3,1,2,0,0,0,0,0,1,2,1,0,2,0,0,0,3,1,2,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
1,0,0,2,3,7,1,0,1,1,0,1,0,2,1,0,1,2,0,1,0,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,7,1,1,9,4,3,2,5,2,3,1,6,5,0,0,2,2,3,1,1,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,1,0,0,0,1,1,0,1,0,0,1,3,0,0,2,1,0,2,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,9,4,2,7,3,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,1,2,2,0,1,0,4,0,0,1,3,0,1,2,1,0,2,1,0,2,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,4,1,0,2,4,1,1,3,0,2,0,1,1,4,2,2,0,2,2,1,2,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,4,3,5,3,0,4,2,0,0,0,2,1,0,2,3,0,0,3,2,1,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,4,0,1,1,1,0,0,1,0,3,0,2,0,0,0,2,1,0,2,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,5,4,3,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,4,1,0,0,3,0,0,0,0,1,0,1,0,5,2,0,0,1,1,2,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
4,15,6,3,7,4,5,0,3,1,6,0,1,0,0,4,2,1,1,0,1,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,1,0,1,2,5,0,5,3,3,2,0,2,7,3,1,2,4,6,4,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,3,1,1,2,0,1,0,2,0,0,0,1,0,0,1,0,0,0,2,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,4,7,3,10,4,7,2,5,1,2,3,2,1,0,2,1,1,1,1,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,1,1,0,0,0,0,1,0,0,1,0,3,1,2,1,0,1,2,4,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,2,3,1,5,6,1,1,3,0,1,0,0,0,1,2,3,0,0,0,0,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
3,3,10,6,8,6,3,4,8,3,5,5,2,8,2,5,3,4,3,1,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,2,1,0,1,2,0,1,2,0,0,1,1,0,0,1,0,0,0,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,0,7,2,3,2,8,6,2,0,1,3,5,1,1,1,5,4,5,7,11,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,3,3,2,3,5,2,1,0,3,3,2,2,0,1,0,1,4,5,3,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,2,5,1,3,1,1,0,1,2,0,0,1,1,0,1,0,0,1,0,2,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
3,4,4,6,1,5,1,4,0,1,1,3,0,0,1,2,0,4,1,0,0,2,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,1,0,0,1,0,2,1,0,0,2,1,2,1,3,0,1,0,3,1,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,5,2,8,1,1,0,2,0,2,0,1,2,0,0,1,1,0,0,1,0,2,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,2,1,4,2,3,0,0,2,2,0,0,2,0,0,0,1,0,0,1,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,0,0,3,1,2,0,2,0,2,3,2,6,3,0,0,3,4,1,2,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,0,6,2,2,0,2,3,1,1,2,1,2,0,2,0,0,1,0,1,0,2,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
3,1,3,0,2,1,0,0,1,0,3,1,0,0,2,1,0,0,1,1,6,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,0,1,1,2,2,0,1,0,1,1,0,1,2,1,1,3,4,3,6,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,1,1,3,0,2,1,1,1,4,1,5,3,3,5,5,2,7,7,8,18,7,
