1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,3,2,10,1,2,0,3,0,6,0,6,6,5,4,4,1,0,2,9,10,5,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,11,20,4,4,11,11,2,3,0,4,5,1,2,1,1,1,0,3,0,1,3,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,3,6,7,2,4,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,1,5,6,7,6,7,5,8,5,6,7,9,14,10,15,4,4,7,7,6,8,11,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,3,1,4,6,3,1,0,3,0,6,0,6,3,2,6,2,5,6,6,8,3,7,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,2,2,2,0,2,0,0,1,0,1,0,0,0,1,0,2,3,1,3,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,0,1,3,4,1,2,3,3,1,2,2,2,4,3,5,0,2,5,2,2,2,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,7,6,3,1,1,1,2,0,0,2,0,1,2,3,1,0,0,0,0,1,0,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,3,3,1,4,2,0,1,3,0,1,1,1,2,0,2,1,1,1,1,0,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,1,2,5,2,5,1,3,1,0,4,4,2,1,2,2,1,1,2,1,1,3,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,4,2,2,1,2,2,0,0,0,1,0,0,0,0,0,1,1,0,2,1,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,3,3,3,3,1,1,1,1,0,1,1,0,0,2,1,2,0,0,0,0,0,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,10,9,5,1,1,1,0,2,0,0,0,2,1,2,2,2,2,3,0,0,4,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,6,7,1,3,6,2,3,0,1,1,1,2,3,0,1,0,0,2,0,0,1,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,5,8,8,2,2,0,2,0,1,2,2,0,0,2,1,0,3,0,0,0,0,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,2,3,7,6,6,7,5,3,3,0,8,1,0,2,0,2,1,1,0,0,0,4,
