1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,1,5,5,2,4,2,1,0,0,1,0,1,1,2,0,0,0,0,0,0,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,2,0,0,2,0,2,0,3,6,2,2,0,1,0,2,4,5,5,2,6,4,3,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
1,2,4,0,1,1,2,1,2,2,6,0,1,3,0,1,2,0,3,2,0,4,5,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,9,5,16,4,9,3,2,2,5,3,2,1,2,1,1,1,1,0,0,0,1,1,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,5,3,5,6,0,1,2,0,4,2,5,0,7,3,4,3,2,3,3,2,3,4,2,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,5,3,4,3,5,8,3,1,2,3,1,2,3,1,3,5,0,0,3,0,0,0,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,10,8,10,12,3,8,1,3,0,0,1,0,0,1,3,0,1,0,0,0,0,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,4,2,2,3,0,2,2,2,0,6,1,7,5,6,3,2,2,5,6,7,4,4,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,3,0,1,1,1,1,2,0,2,1,2,2,2,3,1,2,1,1,2,5,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,7,2,1,2,2,1,1,1,2,2,0,0,0,0,0,0,0,0,1,2,1,2,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,3,2,6,4,1,1,5,3,0,5,1,2,4,2,0,3,1,0,2,1,0,1,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,2,4,4,2,3,2,1,2,1,0,0,0,1,2,2,0,0,0,0,0,1,0,1,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,3,5,4,1,1,3,0,0,1,1,0,0,0,2,0,1,0,1,0,0,0,0,1,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
