1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
5,19,23,27,15,31,34,28,11,36,16,34,10,21,27,24,27,15,3,12,5,17,19,23,2,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
3,6,2,0,2,0,1,1,3,3,1,1,0,1,1,0,0,0,0,0,0,0,2,1,1,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,0,0,3,3,1,2,0,1,0,3,0,2,2,1,2,2,0,2,0,0,3,3,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,1,5,1,0,3,5,8,7,7,10,5,9,7,4,7,17,9,12,8,4,4,1,9,2,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,1,2,5,2,1,0,2,0,3,2,0,0,1,0,4,2,3,1,1,1,1,0,3,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,7,11,13,7,7,5,2,5,1,2,3,0,3,3,3,4,2,1,3,1,0,3,1,
1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,3,0,8,5,0,4,1,3,0,1,1,1,2,0,0,0,0,1,1,0,0,0,0,1,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,4,4,12,16,7,4,5,2,2,4,3,1,1,0,0,1,1,3,0,0,0,0,0,2,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,5,1,5,2,5,2,4,5,2,3,1,3,0,0,6,4,6,3,4,5,1,3,3,2,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
4,2,10,10,16,15,4,3,5,0,2,1,1,0,1,0,1,1,1,4,0,1,0,2,1,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,4,4,10,8,3,28,21,32,19,34,10,15,4,13,20,11,9,3,4,12,9,1,3,5,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,7,6,36,36,29,22,8,8,7,7,4,5,2,0,1,2,1,0,1,0,0,0,0,1,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
1,0,0,0,0,0,0,7,5,2,4,1,1,2,2,2,3,1,0,3,0,1,0,1,1,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,0,1,4,0,1,5,1,0,1,1,7,3,6,8,12,10,15,1,10,4,20,12,14,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,2,2,0,4,3,0,1,1,0,3,0,0,0,0,1,0,2,0,0,0,1,2,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,17,14,13,4,3,6,4,4,4,7,1,0,3,4,2,2,2,0,0,0,2,3,5,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,7,6,4,4,2,5,1,2,1,3,0,7,0,3,0,2,2,0,0,0,3,2,2,2,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,2,4,8,3,3,5,2,3,3,2,4,2,1,2,9,10,4,6,4,4,5,12,2,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,1,3,2,1,3,6,5,4,3,3,3,3,2,1,2,5,2,2,1,2,3,6,8,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,0,0,1,1,1,2,0,0,0,1,2,0,0,0,1,0,0,1,0,0,1,1,1,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,2,4,2,4,1,4,3,3,1,5,1,2,0,2,4,4,3,3,1,1,0,7,13,11,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,1,0,1,1,1,1,1,0,1,0,2,1,0,2,3,2,0,3,1,1,1,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,4,1,0,1,2,7,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,2,0,1,1,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,1,1,2,3,3,3,8,7,6,1,1,1,0,0,1,1,0,0,3,0,1,0,0,6,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,3,0,4,2,0,0,1,0,1,0,1,0,2,1,2,0,1,0,0,0,1,1,1,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,5,6,3,1,4,2,2,0,0,1,0,0,0,1,0,2,1,2,1,3,2,1,3,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,1,3,0,2,0,2,2,3,1,0,1,0,0,2,2,3,3,2,2,1,1,6,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
3,0,2,3,11,8,7,11,5,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
1,0,0,1,0,3,1,9,2,5,6,4,2,1,2,0,0,0,0,0,0,0,1,0,2,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
6,2,0,1,4,1,1,2,1,1,1,4,0,1,3,0,4,0,0,1,0,0,0,0,4,
1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
3,1,0,5,1,3,2,2,2,3,0,0,0,0,3,1,0,1,1,1,0,0,0,0,1,
