1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,2,4,3,8,3,6,6,2,0,5,0,1,2,3,2,2,0,0,0,0,0,0,3,1,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,3,4,3,4,3,5,9,9,2,8,1,6,2,2,5,3,1,1,4,0,1,1,3,1,
1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,0,2,2,1,3,2,1,2,1,0,0,1,0,1,0,2,0,0,2,1,0,0,0,0,2,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,4,3,11,10,6,8,5,7,4,8,0,4,1,2,5,1,5,1,1,4,1,3,7,3,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,1,5,5,4,4,10,7,6,2,2,2,1,1,4,2,2,6,0,0,3,0,0,3,1,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,3,5,7,10,4,11,5,8,2,8,5,1,5,3,6,4,3,2,0,0,0,0,1,1,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,7,2,1,1,2,7,9,6,3,8,4,5,6,2,8,9,9,6,2,7,3,13,8,9,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,1,2,4,1,2,2,1,0,0,1,1,2,2,0,0,0,0,0,0,0,0,1,1,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
1,7,10,40,49,32,58,46,67,31,61,28,34,28,30,41,43,46,27,26,17,10,17,26,15,1,
1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,0,1,3,3,2,5,7,2,1,0,4,3,0,0,1,3,2,1,0,0,1,0,0,2,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,1,8,2,2,4,3,1,2,0,1,0,1,1,0,0,1,2,2,1,1,1,1,1,
1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,1,0,2,2,2,1,1,1,2,2,0,1,0,1,0,0,0,1,0,0,0,1,0,1,3,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,5,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,3,2,0,3,0,4,3,4,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
2,3,10,4,8,14,27,23,12,12,8,6,3,2,1,2,1,1,1,1,0,0,1,1,0,1,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,1,1,1,1,0,0,1,0,2,0,0,0,0,1,0,0,0,1,1,0,0,1,2,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,2,5,2,1,3,5,4,2,2,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
3,3,2,3,0,4,1,0,2,0,2,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,1,2,3,2,4,0,3,6,0,5,0,3,1,4,3,5,1,2,0,2,3,3,3,3,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,0,1,2,5,0,1,2,0,1,1,0,0,3,0,6,6,5,7,3,4,4,6,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,3,1,2,4,1,0,1,1,1,2,4,2,1,2,1,5,3,1,2,1,2,3,3,3,
1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,1,1,3,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,
1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,1,0,4,2,2,2,1,0,1,5,1,4,1,5,6,1,8,2,1,9,4,0,0,1,2,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,1,2,7,2,2,6,4,7,2,1,0,1,0,0,1,0,1,6,0,1,0,0,0,1,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,5,6,3,3,5,2,6,2,3,0,2,0,3,1,1,3,0,4,3,1,1,1,2,3,3,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,1,1,7,6,2,7,3,2,0,1,3,0,1,1,2,1,4,3,1,1,5,0,3,7,2,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,3,7,5,5,4,5,6,3,0,2,0,2,2,4,0,4,5,2,7,7,3,4,1,4,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,1,2,6,0,2,4,3,3,1,3,2,0,2,0,2,3,1,11,2,0,4,0,2,2,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,6,2,2,2,6,5,4,2,1,1,1,0,1,1,0,2,0,0,0,2,0,0,0,0,1,
1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
2,3,3,1,2,1,2,1,0,0,0,3,1,2,1,1,0,0,0,0,0,0,0,0,0,1,
