1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,0,1,6,3,8,5,5,6,6,8,3,4,2,1,2,1,2,0,0,0,1,1,0,0,0,0,1,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,1,5,8,3,3,2,3,3,4,1,2,0,0,0,2,0,1,0,0,0,0,0,1,2,1,
1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,1,2,3,2,0,3,2,8,4,2,2,1,5,0,1,2,0,0,0,0,0,1,3,0,0,0,2,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,2,2,2,8,7,8,3,2,2,3,1,1,0,1,1,0,0,0,1,1,0,2,0,1,0,2,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,2,1,3,0,3,5,1,5,2,1,1,2,1,1,0,0,0,0,0,2,1,1,0,0,0,1,2,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,0,0,4,1,2,2,0,1,3,2,0,1,0,3,0,1,24,5,3,3,3,9,17,26,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,0,1,2,2,1,0,2,1,2,1,2,1,0,0,0,0,1,1,2,0,0,0,0,0,1,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,3,6,4,3,3,3,4,5,7,1,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,2,0,1,0,1,1,2,3,4,0,1,1,0,0,1,5,0,0,0,1,0,1,0,1,2,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,3,1,3,0,1,0,2,2,2,3,1,1,0,2,0,0,0,2,3,1,0,0,0,0,0,1,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,1,2,0,1,1,3,0,1,1,0,2,4,1,6,1,0,0,2,0,1,0,1,0,1,2,1,3,
1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
2,4,2,2,2,0,2,0,2,1,0,2,1,1,1,0,0,0,3,0,1,0,0,0,0,0,0,2,
1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
5,5,11,6,7,3,4,0,4,7,6,2,4,1,2,0,1,0,0,0,1,0,0,1,2,0,0,1,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,1,0,1,0,0,0,0,2,0,1,3,1,5,1,4,6,2,11,8,17,8,14,8,11,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,0,1,3,10,7,7,8,8,4,6,3,1,3,4,4,2,0,3,5,3,0,1,1,0,1,0,1,
1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,2,4,2,3,3,1,5,1,1,3,1,1,0,0,2,3,1,2,1,0,4,0,2,0,0,0,1,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,4,6,8,8,6,9,10,7,9,6,4,5,4,2,9,3,5,7,3,10,6,5,6,7,5,10,13,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,9,13,7,6,17,17,18,10,12,6,6,4,4,0,2,1,2,0,0,1,0,0,1,0,0,3,2,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,2,4,1,0,0,0,1,0,1,3,1,1,2,1,1,0,0,2,0,0,0,2,0,1,0,1,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,6,7,17,2,7,11,11,9,7,4,5,2,1,1,0,1,0,0,2,0,0,1,0,2,3,1,1,
1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,2,1,1,3,0,3,0,1,5,0,1,1,1,4,2,1,1,1,1,0,1,0,0,0,0,0,1,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,0,0,2,4,1,9,5,0,2,6,1,4,3,2,6,9,6,8,4,8,10,15,20,33,
1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
1,4,3,5,6,1,3,0,0,2,1,4,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
5,11,4,0,1,4,1,4,1,1,4,0,0,1,2,3,2,1,0,3,0,5,1,3,2,0,0,2,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,1,1,1,0,2,2,3,1,3,0,1,1,5,1,4,0,0,0,5,2,2,0,2,1,3,4,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,0,0,3,0,1,0,0,0,0,2,0,2,0,0,2,2,3,5,4,6,8,20,22,22,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,3,3,3,4,8,7,3,10,9,7,5,10,0,5,2,2,7,2,3,1,1,1,3,0,0,2,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,0,2,2,1,2,1,1,0,1,0,0,0,0,1,0,1,2,1,1,0,0,1,1,1,1,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,1,5,7,0,3,1,3,1,2,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,3,0,0,2,2,5,1,1,3,2,0,0,1,0,0,2,1,3,0,0,0,2,0,5,1,1,
1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
4,0,5,5,2,3,4,1,1,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,2,0,1,5,2,5,0,0,2,3,0,0,1,1,0,0,2,0,1,0,0,0,0,1,0,1,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
3,7,6,1,0,0,1,3,3,3,1,3,2,1,1,2,1,2,2,4,2,5,2,0,0,1,1,2,
1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,1,2,1,1,4,4,10,4,1,4,1,3,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,1,1,2,0,1,9,6,4,1,8,3,6,4,3,5,3,0,0,0,1,2,0,2,1,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,0,1,2,3,6,6,11,2,4,5,4,1,3,0,2,3,0,2,2,1,2,0,3,1,1,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,2,0,0,1,1,1,0,2,1,2,0,0,0,0,1,1,0,0,1,1,0,2,1,3,11,5,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,0,0,2,7,12,3,16,8,6,6,9,2,18,6,18,14,11,9,4,5,4,3,3,7,2,
1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
2,5,3,4,2,1,1,0,0,1,2,0,1,0,0,0,0,0,0,1,1,0,2,1,1,0,0,1,
1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
1,1,2,2,5,2,0,0,0,0,3,4,2,1,0,0,0,0,0,2,0,2,1,4,1,0,1,2,
