1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,3,0,1,2,2,3,1,9,9,6,5,3,4,1,4,1,2,0,1,0,1,0,1,0,1,0,0,1,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,4,20,4,53,84,77,69,41,44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,6,17,8,3,19,25,14,20,8,10,4,4,2,1,3,4,0,1,4,0,2,3,0,0,1,0,1,2,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,0,0,0,0,1,2,15,22,10,0,10,4,3,1,1,1,0,3,0,1,0,0,0,2,1,
1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,1,5,4,3,2,3,0,2,4,1,1,5,2,1,2,1,3,1,1,1,1,0,0,0,1,0,0,1,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,0,0,0,0,0,1,1,2,1,0,0,0,1,2,0,0,0,1,1,1,3,2,1,3,0,1,
1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,1,2,3,3,1,2,3,4,5,0,0,1,1,0,0,3,0,3,0,3,1,1,2,1,0,1,1,1,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,3,1,2,0,4,1,1,2,3,1,0,1,0,2,0,0,1,0,0,1,2,1,2,3,3,0,0,2,
1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,2,0,0,1,0,0,1,2,2,0,2,2,3,0,2,0,1,1,0,0,1,0,0,0,1,0,0,1,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,0,0,0,3,2,7,3,5,3,3,7,0,3,0,0,1,0,0,1,0,0,1,0,0,2,0,1,
1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,25,13,6,1,3,1,0,1,1,1,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,0,0,0,2,4,2,3,8,6,8,9,0,17,0,8,1,6,19,38,29,34,64,66,92,107,
1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
3,0,1,6,4,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,
1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,0,1,0,2,0,2,0,2,1,1,0,0,1,2,2,1,1,1,0,1,0,0,0,0,0,0,0,1,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
7,3,4,1,0,1,5,3,3,0,7,3,5,3,2,1,2,3,2,3,4,1,1,3,1,0,4,5,3,
1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,1,0,3,0,1,0,0,0,1,3,3,2,2,2,1,0,0,0,1,0,1,1,0,2,0,0,1,1,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,4,4,5,1,3,4,6,5,6,12,0,6,1,5,2,9,2,3,1,3,4,2,1,4,0,1,3,1,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,3,7,1,8,2,3,4,5,2,1,6,4,5,3,7,1,1,1,1,2,0,0,1,0,1,2,1,
1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
2,2,1,0,0,2,1,2,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,6,2,2,1,2,2,3,0,1,0,1,1,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,4,3,2,1,4,2,1,2,0,2,2,1,0,1,0,2,1,0,0,3,0,0,0,0,4,0,0,2,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,1,0,0,2,0,2,4,5,0,1,0,4,1,1,2,9,5,5,8,10,5,7,5,13,9,22,22,17,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,0,0,1,0,4,2,1,0,2,0,3,0,0,2,2,2,4,3,1,1,1,0,1,2,3,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,1,2,0,1,1,2,0,1,1,0,0,2,0,1,0,0,3,2,6,4,3,6,2,5,5,4,
1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
2,2,2,2,0,0,0,0,0,2,1,1,1,1,3,2,1,1,0,1,1,1,0,0,0,0,0,1,1,
1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,0,4,2,1,2,0,2,1,3,13,4,5,6,1,1,4,0,2,0,1,1,1,0,0,0,0,0,2,
1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
4,8,4,4,2,2,1,1,4,0,0,2,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,1,1,1,2,2,1,4,1,0,0,0,1,0,6,0,0,0,0,0,2,0,1,1,2,2,1,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,0,1,0,1,0,1,4,1,1,0,1,0,1,0,0,0,2,0,1,0,0,2,1,2,4,5,5,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
