1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,3,6,1,1,1,0,1,1,3,2,1,1,0,1,0,0,0,0,0,0,2,2,1,0,0,1,0,0,1,
1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,1,2,0,2,1,6,5,2,3,3,3,7,6,
1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,5,3,7,8,6,5,17,16,15,6,9,10,7,1,2,4,2,2,10,5,7,5,4,5,2,3,6,7,
1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,1,1,1,6,4,14,15,11,9,5,8,10,8,10,17,3,8,9,11,14,10,6,5,5,10,24,14,
1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,0,1,1,2,0,2,1,6,8,5,4,2,0,1,7,2,2,5,6,1,2,1,7,9,12,14,
1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,3,1,0,2,4,2,7,4,4,3,2,0,1,2,0,0,1,0,0,1,0,0,0,0,1,2,0,2,
1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,18,12,15,17,12,8,8,5,6,10,6,6,4,3,2,2,1,1,1,2,0,0,0,0,0,2,0,2,1,
1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,3,3,1,1,0,1,1,1,1,1,1,1,1,0,2,0,1,0,0,0,0,0,1,0,1,1,0,0,2,
1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,0,3,1,0,1,0,1,0,3,0,1,1,0,1,0,0,0,1,0,3,1,0,1,5,2,2,2,
1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,5,7,11,15,9,3,13,18,15,8,1,7,8,5,0,1,4,0,0,0,1,3,2,0,0,0,0,0,1,
1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,0,0,0,1,5,1,0,4,2,4,3,10,2,3,1,4,5,1,0,1,0,0,0,0,0,2,
