1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,0,0,1,0,0,0,0,2,0,2,5,4,6,2,3,1,5,3,0,0,2,4,0,2,2,3,4,0,0,1,
1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,0,1,1,1,0,2,0,1,1,1,6,2,3,5,2,1,2,3,2,0,1,0,1,1,0,0,1,0,0,1,
1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,3,4,1,6,6,10,15,14,14,10,7,3,2,8,6,1,3,0,1,1,2,0,0,0,0,0,0,0,2,
1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
1,5,0,12,7,10,0,2,3,2,6,28,42,39,3,37,38,23,5,4,23,6,7,10,20,43,22,12,19,12,1,
1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,5,8,3,4,1,1,1,6,5,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,2,1,1,3,0,2,2,5,3,2,1,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,3,
