1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,1,4,1,1,3,2,4,8,13,11,9,11,7,0,2,2,0,3,3,3,3,1,3,0,0,0,1,0,2,1,
1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,0,0,0,0,3,10,17,20,19,22,21,22,12,17,12,14,23,14,17,23,36,21,10,12,4,14,19,33,
1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,1,1,2,2,2,2,0,2,5,3,2,1,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,
1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,5,8,12,13,13,17,5,9,18,27,18,10,18,9,14,5,3,3,2,1,2,2,3,4,0,0,2,2,0,1,3,
1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,7,12,8,24,7,25,6,10,16,21,24,12,22,7,10,3,7,2,1,3,1,5,3,2,3,0,2,0,3,4,1,
1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,1,2,1,0,3,1,1,1,1,3,3,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,1,1,
1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,2,2,2,2,3,3,2,0,3,1,3,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,
1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,3,7,3,1,6,1,1,4,5,12,6,5,4,3,4,0,0,0,1,2,1,2,2,3,5,2,0,1,0,1,1,
1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
3,4,5,2,0,2,1,2,2,2,0,2,0,2,1,0,2,1,0,0,2,0,0,1,0,0,0,1,2,1,0,1,
1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
6,4,4,12,4,8,4,2,1,5,4,1,3,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,4,1,
1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
4,1,3,2,0,5,0,2,0,1,0,2,0,0,0,1,2,0,1,0,14,0,3,3,5,3,3,0,2,0,2,1,
1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,1,0,4,4,7,5,1,4,5,12,1,3,3,9,5,8,3,1,0,3,4,0,1,3,2,0,0,0,0,2,
1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,3,5,0,1,0,1,0,0,0,2,4,0,0,1,0,0,2,2,4,1,2,3,8,4,2,5,7,11,9,7,
1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,3,5,0,4,4,2,2,1,1,1,2,4,3,4,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,
1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,5,5,5,9,5,2,1,1,5,7,6,8,9,5,1,2,3,2,3,4,1,1,2,3,1,0,0,0,1,5,1,
1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
2,2,3,2,0,2,2,0,4,0,0,2,3,3,2,4,2,2,0,3,0,0,1,0,0,0,0,0,0,0,0,1,
1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,9,0,5,7,12,5,5,2,3,6,7,9,3,9,18,6,16,14,14,10,6,14,21,22,22,14,26,15,24,21,18,
1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,3,1,0,2,2,1,2,4,1,3,3,6,4,4,3,3,1,3,0,1,3,3,6,2,4,3,3,5,9,7,
1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,1,0,2,1,2,0,1,1,1,0,2,1,0,4,2,3,2,6,2,0,5,5,5,3,0,2,2,3,5,5,
1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
1,0,1,1,2,0,2,0,0,1,0,2,1,0,0,0,0,1,3,3,4,2,2,0,2,1,0,1,0,1,1,1,
1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,13,16,17,22,18,19,10,14,26,41,38,16,26,15,13,3,16,2,3,6,8,7,11,15,12,1,3,2,13,12,7,
