1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
2,4,3,1,0,0,2,1,5,2,2,0,1,0,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,5,3,2,0,5,2,2,0,0,2,0,2,2,2,2,0,0,0,0,4,0,4,2,0,1,3,1,0,2,1,4,3,
1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,2,2,0,1,1,2,1,1,3,1,2,0,2,2,0,0,0,1,2,0,2,2,2,3,4,1,4,1,1,5,1,
1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
3,3,3,6,9,3,3,2,3,2,0,0,2,3,2,1,1,2,0,0,1,1,0,0,1,1,1,0,1,1,0,0,3,
1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
3,0,4,1,2,1,1,1,1,0,0,0,2,2,0,3,1,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,
1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,3,11,7,16,15,16,15,4,6,13,11,7,3,8,2,5,1,4,4,3,0,2,4,1,2,1,1,2,1,1,2,1,
1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,4,8,3,11,19,18,17,11,10,19,20,25,19,17,20,9,4,10,5,4,2,4,5,1,7,3,2,2,0,2,5,2,
1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,1,5,1,2,4,2,2,1,1,5,2,3,4,6,3,1,2,2,1,0,1,0,0,0,0,1,0,0,0,0,2,1,
1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,1,1,1,0,2,1,0,1,0,2,1,1,1,1,1,1,1,3,2,0,1,0,1,2,1,0,2,3,4,2,
1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,2,2,4,3,2,3,0,2,0,1,3,1,1,0,1,0,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,
1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
3,2,2,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,2,0,4,1,0,1,
1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,1,2,0,1,2,1,0,3,3,8,0,4,4,4,1,3,1,3,1,2,1,2,2,1,2,3,2,10,11,8,
1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,3,2,0,3,0,0,1,0,0,0,1,0,1,1,1,3,0,0,1,1,2,3,5,3,6,4,1,3,2,7,1,3,
1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,0,0,1,1,0,0,0,1,1,3,5,3,1,2,3,3,8,8,4,9,8,11,6,2,11,3,5,6,5,
1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,4,2,2,1,1,2,1,0,2,1,0,0,1,1,0,2,2,1,2,0,2,1,0,1,0,1,0,1,0,1,1,4,
1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
5,2,2,8,8,5,8,2,0,0,1,8,7,12,8,2,2,1,5,0,0,2,2,1,1,1,1,0,0,1,0,1,1,
1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,12,6,9,17,24,7,4,0,3,5,8,9,3,6,9,4,2,7,1,2,6,4,3,3,7,8,1,5,0,4,9,4,
