1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,3,2,1,1,1,4,1,0,1,2,0,4,1,2,1,1,0,2,2,0,0,0,0,2,0,1,0,0,0,1,0,1,
1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
1,0,2,2,4,0,1,2,2,0,0,2,0,2,2,0,3,2,5,0,2,0,2,1,2,6,7,9,3,5,6,10,10,1,
1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,7,1,15,10,2,15,7,8,12,8,16,17,23,19,11,12,8,12,3,1,4,3,0,1,3,0,2,1,1,1,0,0,1,
1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,13,17,18,12,15,13,17,21,5,12,11,20,22,15,11,9,4,7,3,1,6,2,8,6,12,13,13,6,5,8,6,10,17,
1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,4,5,3,6,1,3,1,0,0,1,1,2,3,3,1,4,1,1,5,2,6,1,4,8,5,5,2,4,4,12,12,9,
1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,1,1,0,0,0,0,1,1,1,0,0,1,1,0,3,1,1,0,1,1,3,0,0,2,0,0,1,1,0,0,1,1,1,
1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,1,8,7,7,5,1,7,9,9,1,3,2,3,5,7,4,1,0,1,1,0,5,0,1,0,1,3,1,0,2,0,0,2,
1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,3,4,3,2,7,1,2,0,0,2,1,2,0,2,1,1,0,0,0,1,0,1,1,1,0,1,5,2,2,11,15,3,
1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,2,4,2,3,1,2,3,1,0,2,0,2,7,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,2,
1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
11,10,6,6,5,6,4,3,1,3,1,0,2,5,6,2,3,0,0,1,5,2,0,5,0,0,0,1,0,1,0,0,1,1,
1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,6,12,5,5,10,9,5,4,1,3,6,9,13,5,1,2,5,2,0,1,2,2,3,3,3,7,5,0,0,0,1,5,4,
1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,3,3,1,4,0,2,2,1,1,1,3,2,2,4,8,4,1,1,2,1,6,2,5,4,0,6,3,1,2,4,5,10,2,
1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
