1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,3,1,1,1,0,2,0,1,1,2,0,1,0,4,3,3,0,2,0,2,3,2,1,3,2,12,4,6,4,10,2,11,15,19,
1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,0,3,1,1,0,1,3,3,2,8,5,6,12,6,3,3,5,5,6,1,3,2,0,1,2,4,3,3,1,1,2,2,1,
1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,1,2,3,3,6,1,4,1,2,1,3,0,1,0,4,1,2,2,7,0,4,0,2,0,0,0,1,0,1,5,3,0,2,0,1,
1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,13,15,20,14,5,8,1,6,2,3,2,1,4,3,1,3,0,2,3,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,2,
1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
4,8,11,5,1,5,1,1,2,1,2,1,0,1,0,0,1,1,1,0,1,0,0,2,0,0,0,2,1,0,1,0,3,2,0,3,
1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,8,11,8,11,15,10,28,10,12,10,9,10,8,15,8,1,6,3,3,0,5,3,2,2,0,2,2,7,1,1,1,1,1,2,1,
1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
5,0,0,1,0,0,2,1,0,1,1,0,1,2,3,2,2,2,6,2,0,0,2,0,0,1,0,2,1,0,0,2,2,2,8,6,
1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,5,3,1,2,0,1,0,0,0,0,0,0,0,2,3,0,0,2,0,0,0,1,2,1,0,1,1,2,2,0,1,0,1,0,1,
1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,7,2,4,3,2,4,4,8,5,1,2,1,3,0,2,3,2,2,0,2,1,1,1,1,0,2,0,0,0,1,0,1,1,1,
1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,12,12,5,6,3,1,3,2,2,1,1,2,0,1,1,0,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,
1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,1,0,2,6,3,7,5,5,1,0,3,9,12,3,8,3,2,1,3,0,1,1,0,2,0,0,2,0,1,1,1,2,1,
