1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,1,2,1,0,0,0,0,1,0,1,0,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,6,7,2,2,2,5,4,5,7,
1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,5,4,0,2,6,3,8,5,2,4,4,3,6,4,6,8,1,3,1,2,0,2,0,1,0,0,2,1,0,1,0,0,1,2,4,4,
1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,0,0,1,0,2,3,5,1,0,1,1,2,0,0,1,0,2,1,0,1,1,1,1,2,2,1,1,0,0,0,0,1,0,0,1,0,1,
1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,1,1,0,0,1,1,3,1,0,1,2,0,1,0,0,2,0,1,0,2,2,2,3,2,2,2,2,5,2,4,1,0,2,1,0,1,4,
1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,2,3,13,18,10,14,12,3,3,3,4,1,1,2,3,2,3,2,3,1,2,0,1,1,0,0,0,1,1,0,1,0,1,2,0,1,2,
1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,6,5,20,18,6,11,14,9,18,14,8,7,3,2,17,14,9,13,9,8,5,4,6,6,4,3,6,6,11,16,14,4,8,7,13,18,12,
1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,3,1,1,0,1,2,1,2,1,1,1,2,0,1,0,1,3,1,1,0,1,1,1,2,1,0,1,1,2,2,0,0,0,0,0,0,2,
1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
7,4,8,10,9,5,10,7,3,4,8,4,4,1,5,2,6,5,1,5,4,2,2,1,0,0,1,1,0,3,1,0,2,1,1,2,4,4,
1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,9,8,7,3,10,14,6,4,7,2,6,3,6,2,1,4,2,3,5,3,2,3,4,0,1,0,2,4,6,6,10,2,9,1,5,7,12,
1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,2,3,1,2,6,5,3,1,5,6,4,0,2,0,0,2,5,2,1,2,0,1,0,0,0,0,1,0,1,1,2,1,0,0,0,1,1,
1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,1,0,0,0,2,0,0,1,0,1,2,6,9,6,8,7,2,4,6,2,0,3,1,0,1,4,1,10,6,6,5,4,4,7,11,5,
