1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,3,0,2,0,0,0,2,0,1,0,1,1,1,2,3,1,3,0,3,2,0,3,0,3,3,5,2,4,7,10,4,7,3,13,12,11,
1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,3,2,1,0,6,0,1,2,2,1,1,0,1,1,2,1,5,2,1,1,0,0,0,0,1,0,0,2,0,1,2,0,1,0,0,0,1,
1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,6,1,2,4,5,0,2,3,2,5,2,1,0,1,3,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,
1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,8,7,9,15,7,6,7,1,4,2,7,0,2,1,1,5,4,1,3,3,2,3,2,1,2,0,0,1,3,4,1,3,2,3,1,3,2,2,
1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,2,3,6,8,10,3,8,8,10,9,11,13,32,41,53,21,34,21,49,53,61,1,
1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,3,4,4,5,3,1,2,2,1,1,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,3,
