1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,16,10,8,9,6,19,9,13,11,8,10,4,13,15,7,7,11,20,25,26,22,14,11,7,21,15,19,9,13,17,12,20,18,12,14,5,8,10,6,
1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,5,13,14,11,10,7,6,3,4,2,4,3,0,3,0,3,3,5,5,3,2,2,2,0,3,1,0,1,1,1,0,0,0,0,0,1,1,0,1,
1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,1,0,2,0,2,1,1,2,4,3,1,1,1,0,0,2,4,10,1,4,1,3,1,3,1,1,1,1,2,3,1,1,2,2,0,5,10,5,
1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
2,0,1,1,3,2,3,1,1,0,1,1,5,0,2,1,1,1,1,2,5,2,0,1,3,2,1,1,0,2,2,2,2,1,3,0,0,2,2,1,
1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,6,1,4,13,17,8,14,14,15,15,13,11,14,5,3,11,14,17,10,5,7,2,3,2,1,2,4,6,8,7,5,9,3,6,3,7,4,10,
1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,1,0,1,0,1,0,0,0,0,1,1,0,2,1,0,4,3,2,4,4,7,0,3,0,1,0,0,0,2,0,2,3,2,0,1,1,0,1,
1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,8,4,16,24,31,15,28,17,15,20,32,19,32,15,20,28,26,22,14,21,11,16,9,23,7,6,1,3,8,5,7,6,4,10,9,5,17,9,
1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,4,6,6,5,12,4,4,1,2,2,3,2,0,1,0,0,2,1,0,0,1,0,0,1,3,0,1,0,0,1,0,3,0,0,0,0,0,0,1,
