1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,5,9,8,17,21,23,16,29,31,24,28,13,9,17,14,11,8,13,11,17,26,14,10,14,11,7,7,12,2,7,6,12,11,15,11,6,6,3,4,7,6,
1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,5,4,1,5,3,2,2,1,2,6,2,5,0,2,2,2,0,2,1,0,2,2,4,2,4,0,1,1,1,1,4,1,6,8,9,0,2,2,4,6,4,
1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,1,5,6,5,2,5,0,8,4,2,6,0,3,2,1,2,4,1,1,0,2,2,1,0,0,0,0,0,0,1,2,1,0,1,1,1,1,1,1,
1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,0,0,3,4,10,16,4,6,1,1,5,2,2,2,1,1,1,1,3,2,2,4,2,2,1,1,0,1,1,0,1,1,0,0,1,1,0,3,4,2,
1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
5,6,6,4,1,1,3,2,4,1,2,1,0,1,2,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,2,1,1,1,
1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
2,1,0,2,4,2,3,3,1,0,1,0,2,3,3,4,0,2,3,1,5,3,5,2,4,2,1,3,6,0,3,3,5,4,2,3,1,1,3,3,8,1,
